TM,Actual,DoubleEncoderTransformer,Transformer,LSTM,GRU,CNN
2018-05-15 23:00:00,-0.69796365,-0.72233695,-0.6983269,-0.69747984,-0.69797385,-0.6854195
2018-05-16 00:00:00,-0.6986095,-0.72300655,-0.6989938,-0.69818777,-0.69864196,-0.6859106
2018-05-16 01:00:00,-0.69925314,-0.7236928,-0.6997118,-0.6989114,-0.6992969,-0.6864125
2018-05-16 02:00:00,-0.6998825,-0.72437656,-0.7003986,-0.6995792,-0.69993734,-0.68689984
2018-05-16 03:00:00,-0.70051086,-0.7250434,-0.7010237,-0.7001727,-0.7005546,-0.68742955
2018-05-16 04:00:00,-0.70114785,-0.72570604,-0.70164394,-0.7007522,-0.70118845,-0.68791425
2018-05-16 05:00:00,-0.7017753,-0.7263773,-0.7022594,-0.70139766,-0.70184374,-0.68844914
2018-05-16 06:00:00,-0.7024097,-0.7270372,-0.70285904,-0.70212626,-0.7025095,-0.68897796
2018-05-16 07:00:00,-0.70306605,-0.7277048,-0.703521,-0.7028725,-0.7031536,-0.6895078
2018-05-16 08:00:00,-0.70370895,-0.72839385,-0.7042612,-0.70355004,-0.70379424,-0.6899532
2018-05-16 09:00:00,-0.70434695,-0.72906625,-0.7049234,-0.70413065,-0.7044213,-0.6905109
2018-05-16 10:00:00,-0.7049955,-0.7297304,-0.70554245,-0.7046773,-0.70506465,-0.69106686
2018-05-16 11:00:00,-0.70566255,-0.7304064,-0.70624614,-0.7052871,-0.70573777,-0.6915997
2018-05-16 12:00:00,-0.7063345,-0.73110265,-0.7069622,-0.70599526,-0.70643675,-0.6920513
2018-05-16 13:00:00,-0.7069966,-0.7318052,-0.70760167,-0.70673114,-0.70711565,-0.6925781
2018-05-16 14:00:00,-0.70763993,-0.7324978,-0.7082803,-0.7073982,-0.7077601,-0.6930404
2018-05-16 15:00:00,-0.7082763,-0.7331675,-0.7089434,-0.70797366,-0.7083865,-0.69347084
2018-05-16 16:00:00,-0.70891714,-0.7338201,-0.7094714,-0.7085293,-0.70900464,-0.6938975
2018-05-16 17:00:00,-0.7095663,-0.7344783,-0.71000355,-0.70916003,-0.70964587,-0.69428134
2018-05-16 18:00:00,-0.7102052,-0.73515004,-0.7107171,-0.709904,-0.71030456,-0.6944554
2018-05-16 19:00:00,-0.71081364,-0.7358159,-0.7114254,-0.71068674,-0.710971,-0.6946933
2018-05-16 20:00:00,-0.7113785,-0.7364482,-0.7119707,-0.71137685,-0.7115629,-0.69519806
2018-05-16 21:00:00,-0.71190375,-0.7370299,-0.71260977,-0.7119116,-0.71212184,-0.6957635
2018-05-16 22:00:00,-0.7124031,-0.7375654,-0.7132765,-0.7123589,-0.7126239,-0.6962225
2018-05-16 23:00:00,-0.7129223,-0.7380725,-0.7136924,-0.71281964,-0.71312153,-0.6966099
2018-05-17 00:00:00,-0.71341664,-0.7386029,-0.71411014,-0.71333325,-0.71357965,-0.69700396
2018-05-17 01:00:00,-0.71390563,-0.739113,-0.71468186,-0.71386224,-0.71408796,-0.6971631
2018-05-17 02:00:00,-0.7143758,-0.73962,-0.71507895,-0.7143259,-0.7145375,-0.697719
2018-05-17 03:00:00,-0.714824,-0.74010694,-0.7152246,-0.71467006,-0.71496266,-0.6982969
2018-05-17 04:00:00,-0.71525174,-0.740569,-0.71559757,-0.71496195,-0.7153232,-0.6987581
2018-05-17 05:00:00,-0.7156782,-0.7410089,-0.7161634,-0.715337,-0.71575195,-0.6986586
2018-05-17 06:00:00,-0.71612775,-0.74144804,-0.71636295,-0.71582633,-0.7161944,-0.69923323
2018-05-17 07:00:00,-0.71662545,-0.7419156,-0.71691525,-0.71641344,-0.7167027,-0.6999747
2018-05-17 08:00:00,-0.71717197,-0.7424377,-0.71777105,-0.71705097,-0.7172559,-0.7007112
2018-05-17 09:00:00,-0.7177458,-0.7430123,-0.71849465,-0.7176717,-0.71780765,-0.70123327
2018-05-17 10:00:00,-0.7183486,-0.74361366,-0.71906,-0.71820873,-0.71840876,-0.7018839
2018-05-17 11:00:00,-0.71895826,-0.7442369,-0.71987,-0.71869326,-0.7190311,-0.70226043
2018-05-17 12:00:00,-0.7195779,-0.74485815,-0.7205599,-0.7192139,-0.7196789,-0.7027731
2018-05-17 13:00:00,-0.72021306,-0.74548864,-0.72107816,-0.71983993,-0.72033715,-0.70347404
2018-05-17 14:00:00,-0.72085184,-0.7461394,-0.72165126,-0.7205614,-0.72103333,-0.704054
2018-05-17 15:00:00,-0.7215017,-0.7468008,-0.72232115,-0.7213102,-0.7216786,-0.70432985
2018-05-17 16:00:00,-0.72212374,-0.74747384,-0.7229539,-0.72198355,-0.7222925,-0.70461726
2018-05-17 17:00:00,-0.7227211,-0.74811333,-0.7235104,-0.7225314,-0.72286576,-0.7049931
2018-05-17 18:00:00,-0.7233008,-0.74872637,-0.72418237,-0.7230063,-0.72344434,-0.7053888
2018-05-17 19:00:00,-0.72386307,-0.7493206,-0.72481644,-0.7235161,-0.72400963,-0.7058935
2018-05-17 20:00:00,-0.72441155,-0.7498954,-0.7254022,-0.72412115,-0.72460026,-0.70645726
2018-05-17 21:00:00,-0.72495323,-0.7504587,-0.725988,-0.7247985,-0.7251809,-0.707029
2018-05-17 22:00:00,-0.72550035,-0.7510087,-0.7266643,-0.72547245,-0.7257482,-0.7074896
2018-05-17 23:00:00,-0.72606015,-0.7515624,-0.7271836,-0.72606736,-0.7262846,-0.70810443
2018-05-18 00:00:00,-0.7266132,-0.7521203,-0.7277045,-0.72656935,-0.7268363,-0.7087052
2018-05-18 01:00:00,-0.72716653,-0.75267684,-0.72822237,-0.7270383,-0.72739244,-0.7093145
2018-05-18 02:00:00,-0.7277299,-0.7532319,-0.7288247,-0.72755015,-0.7279579,-0.70983195
2018-05-18 03:00:00,-0.7282922,-0.7538067,-0.729288,-0.72811717,-0.728515,-0.7104607
2018-05-18 04:00:00,-0.7288657,-0.7543729,-0.7298863,-0.7286925,-0.7290585,-0.7110447
2018-05-18 05:00:00,-0.72944003,-0.75495315,-0.7304212,-0.72922134,-0.7295839,-0.71166575
2018-05-18 06:00:00,-0.73002404,-0.75552046,-0.7309417,-0.7296962,-0.73010385,-0.7122544
2018-05-18 07:00:00,-0.73062235,-0.7561066,-0.73135877,-0.7301635,-0.73064494,-0.71279943
2018-05-18 08:00:00,-0.7312046,-0.7567044,-0.73191947,-0.73069507,-0.7312226,-0.71312255
2018-05-18 09:00:00,-0.7317426,-0.75730175,-0.7325139,-0.73131526,-0.7318296,-0.7134954
2018-05-18 10:00:00,-0.7322406,-0.75784826,-0.7330723,-0.73197144,-0.73240566,-0.71393377
2018-05-18 11:00:00,-0.7327088,-0.7583577,-0.73366034,-0.73257345,-0.7329391,-0.71455187
2018-05-18 12:00:00,-0.73315334,-0.7588181,-0.73423135,-0.73307437,-0.73339784,-0.7151635
2018-05-18 13:00:00,-0.7335776,-0.75924534,-0.73459816,-0.7334903,-0.73381245,-0.71578574
2018-05-18 14:00:00,-0.7339753,-0.75965214,-0.73477364,-0.73387975,-0.73416847,-0.71631986
2018-05-18 15:00:00,-0.73431534,-0.7600466,-0.7350712,-0.7342841,-0.73452973,-0.7166823
2018-05-18 16:00:00,-0.7345944,-0.7604034,-0.73526585,-0.73467475,-0.734823,-0.7171663
2018-05-18 17:00:00,-0.73481137,-0.7607118,-0.7353429,-0.7349476,-0.73504096,-0.71774346
2018-05-18 18:00:00,-0.73491806,-0.76096505,-0.73530316,-0.7350307,-0.73512477,-0.7182426
2018-05-18 19:00:00,-0.73486686,-0.7610606,-0.7354479,-0.7349692,-0.7351456,-0.718475
2018-05-18 20:00:00,-0.7347717,-0.7609718,-0.7352288,-0.73488504,-0.7350764,-0.71886235
2018-05-18 21:00:00,-0.7347499,-0.7608305,-0.7352056,-0.7349054,-0.73503447,-0.7192975
2018-05-18 22:00:00,-0.7348005,-0.7608221,-0.7353339,-0.7350716,-0.7350579,-0.7199724
2018-05-18 23:00:00,-0.73489356,-0.76088715,-0.7356185,-0.7353106,-0.73514223,-0.72063524
2018-05-19 00:00:00,-0.7350146,-0.7610501,-0.7357352,-0.7354874,-0.7352476,-0.7214323
2018-05-19 01:00:00,-0.7351783,-0.7611968,-0.73614156,-0.73553413,-0.7353926,-0.72187716
2018-05-19 02:00:00,-0.7353714,-0.7614033,-0.7363815,-0.7355006,-0.7355645,-0.7225139
2018-05-19 03:00:00,-0.7355814,-0.7615643,-0.7365123,-0.73550904,-0.735778,-0.72321486
2018-05-19 04:00:00,-0.7358284,-0.76179504,-0.73654157,-0.73566705,-0.73602915,-0.72383595
2018-05-19 05:00:00,-0.7361136,-0.7620431,-0.7369515,-0.73599553,-0.73632586,-0.72405744
2018-05-19 06:00:00,-0.7364399,-0.76236874,-0.737102,-0.7363863,-0.73662436,-0.7245106
2018-05-19 07:00:00,-0.7368058,-0.76271343,-0.7374836,-0.73672247,-0.7369262,-0.72492015
2018-05-19 08:00:00,-0.7371812,-0.76312244,-0.73795974,-0.7369725,-0.7372637,-0.7254576
2018-05-19 09:00:00,-0.7375579,-0.76350677,-0.7384852,-0.7371993,-0.7376151,-0.72586477
2018-05-19 10:00:00,-0.7379338,-0.76388407,-0.738806,-0.7374802,-0.7380202,-0.7264499
2018-05-19 11:00:00,-0.738309,-0.76424766,-0.73930097,-0.7378621,-0.73844886,-0.72698736
2018-05-19 12:00:00,-0.7386918,-0.7646165,-0.73975676,-0.73833066,-0.73888695,-0.7275976
2018-05-19 13:00:00,-0.7390888,-0.7650069,-0.7400686,-0.7388308,-0.73930496,-0.7283312
2018-05-19 14:00:00,-0.7394864,-0.7654287,-0.7403643,-0.7393093,-0.73972714,-0.7290437
2018-05-19 15:00:00,-0.73989165,-0.7658775,-0.7407169,-0.7397533,-0.74012244,-0.7295891
2018-05-19 16:00:00,-0.7402953,-0.7663164,-0.74106175,-0.74016947,-0.7405051,-0.73019767
2018-05-19 17:00:00,-0.74070066,-0.7667546,-0.7413372,-0.7405632,-0.7408747,-0.7308887
2018-05-19 18:00:00,-0.7410681,-0.7671708,-0.7417629,-0.7409401,-0.74124867,-0.73140836
2018-05-19 19:00:00,-0.74143666,-0.76755816,-0.74211633,-0.74131256,-0.74159855,-0.7318946
2018-05-19 20:00:00,-0.74184364,-0.7679225,-0.7424858,-0.74168986,-0.7419476,-0.7323609
2018-05-19 21:00:00,-0.7422396,-0.7683562,-0.7428487,-0.7420715,-0.7423265,-0.7329235
2018-05-19 22:00:00,-0.7426268,-0.76876944,-0.7433156,-0.7424592,-0.7427294,-0.73332435
2018-05-19 23:00:00,-0.74304587,-0.76919335,-0.74367374,-0.7428592,-0.74314404,-0.73397565
2018-05-20 00:00:00,-0.7435067,-0.7696318,-0.74410135,-0.74328107,-0.7435858,-0.7345625
2018-05-20 01:00:00,-0.74399656,-0.7701397,-0.7445343,-0.7437367,-0.74406695,-0.7350361
2018-05-20 02:00:00,-0.7445226,-0.77064687,-0.74503154,-0.7442414,-0.74457824,-0.73512465
2018-05-20 03:00:00,-0.745051,-0.7711879,-0.7454757,-0.74480176,-0.7451265,-0.7356519
2018-05-20 04:00:00,-0.74559903,-0.7717148,-0.7459826,-0.745406,-0.74568546,-0.73619056
2018-05-20 05:00:00,-0.7461619,-0.77229583,-0.74648774,-0.7460153,-0.74624646,-0.736574
2018-05-20 06:00:00,-0.7467079,-0.7728811,-0.74704206,-0.74657995,-0.7467938,-0.73699987
2018-05-20 07:00:00,-0.7472555,-0.7734653,-0.7475462,-0.7470766,-0.7473296,-0.7375736
2018-05-20 08:00:00,-0.74779356,-0.77403975,-0.7480863,-0.7475365,-0.7478615,-0.73790205
2018-05-20 09:00:00,-0.7483119,-0.7745914,-0.7485868,-0.7480274,-0.74841005,-0.73834336
2018-05-20 10:00:00,-0.748848,-0.77509785,-0.7490774,-0.7485957,-0.74896514,-0.7388481
2018-05-20 11:00:00,-0.7493649,-0.7756206,-0.7495897,-0.74922043,-0.74952924,-0.73932576
2018-05-20 12:00:00,-0.7498502,-0.77614313,-0.7501061,-0.74982625,-0.75006735,-0.73971605
2018-05-20 13:00:00,-0.7503204,-0.7766296,-0.7505632,-0.75034666,-0.75056446,-0.74024117
2018-05-20 14:00:00,-0.7507733,-0.7771283,-0.7509896,-0.7507848,-0.7510335,-0.7408846
2018-05-20 15:00:00,-0.7512441,-0.7775999,-0.75139105,-0.7512126,-0.75149906,-0.74146473
2018-05-20 16:00:00,-0.7517002,-0.77811146,-0.75181055,-0.7517069,-0.75198275,-0.7420236
2018-05-20 17:00:00,-0.7521612,-0.77856725,-0.7522313,-0.7522744,-0.7524651,-0.7424854
2018-05-20 18:00:00,-0.7526536,-0.7790549,-0.7526804,-0.7528338,-0.7529188,-0.74284106
2018-05-20 19:00:00,-0.75310856,-0.7795386,-0.75317204,-0.75327635,-0.75334454,-0.7430744
2018-05-20 20:00:00,-0.75349194,-0.77999556,-0.75360644,-0.75356585,-0.75374,-0.7434121
2018-05-20 21:00:00,-0.7538942,-0.78034735,-0.753966,-0.75378245,-0.7541084,-0.74372506
2018-05-20 22:00:00,-0.75430864,-0.78075755,-0.75433403,-0.75405556,-0.7545011,-0.7440565
2018-05-20 23:00:00,-0.7547362,-0.7811643,-0.754729,-0.7544556,-0.75493115,-0.74432045
2018-05-21 00:00:00,-0.75516504,-0.7816107,-0.7551383,-0.75494623,-0.7553788,-0.74466527
2018-05-21 01:00:00,-0.75558615,-0.78202415,-0.7555534,-0.75542694,-0.7558075,-0.7449255
2018-05-21 02:00:00,-0.75601804,-0.78243625,-0.75593734,-0.755822,-0.75620383,-0.74522805
2018-05-21 03:00:00,-0.7564492,-0.78282756,-0.7563101,-0.75613564,-0.7565874,-0.7455332
2018-05-21 04:00:00,-0.7568609,-0.7832582,-0.7566643,-0.7564376,-0.756984,-0.74592066
2018-05-21 05:00:00,-0.75723433,-0.7836827,-0.75701296,-0.7567963,-0.7573865,-0.74626637
2018-05-21 06:00:00,-0.7575566,-0.784091,-0.7573459,-0.7572138,-0.7577641,-0.7466967
2018-05-21 07:00:00,-0.7578411,-0.7844349,-0.75765324,-0.7576126,-0.7580706,-0.7471527
2018-05-21 08:00:00,-0.7580665,-0.78473246,-0.75793445,-0.7578904,-0.75829476,-0.7475391
2018-05-21 09:00:00,-0.75820804,-0.78494596,-0.75815153,-0.7580055,-0.758443,-0.74776804
2018-05-21 10:00:00,-0.75831366,-0.7850517,-0.7582809,-0.7580197,-0.75854087,-0.7479364
2018-05-21 11:00:00,-0.7584082,-0.78512675,-0.75836027,-0.7580531,-0.7586279,-0.7481059
2018-05-21 12:00:00,-0.7585073,-0.785205,-0.7584468,-0.75818866,-0.7587329,-0.7482633
2018-05-21 13:00:00,-0.75860596,-0.78531873,-0.75854003,-0.75840986,-0.7588438,-0.74855083
2018-05-21 14:00:00,-0.75870085,-0.7854403,-0.75865865,-0.7586202,-0.7589379,-0.7488667
2018-05-21 15:00:00,-0.75878394,-0.78557634,-0.75875515,-0.75872684,-0.75899667,-0.7492182
2018-05-21 16:00:00,-0.75881726,-0.7856772,-0.7588525,-0.7587164,-0.7590359,-0.7493123
2018-05-21 17:00:00,-0.7588186,-0.7857179,-0.7588658,-0.75866264,-0.7590594,-0.7494777
2018-05-21 18:00:00,-0.7588342,-0.7857082,-0.75887036,-0.7586557,-0.7590798,-0.74980724
2018-05-21 19:00:00,-0.7588579,-0.7857392,-0.75888157,-0.7587222,-0.75910664,-0.7502054
2018-05-21 20:00:00,-0.7588767,-0.78577393,-0.75894886,-0.75881046,-0.7591324,-0.750436
2018-05-21 21:00:00,-0.75888497,-0.7858153,-0.7589942,-0.75884795,-0.75914216,-0.7507113
2018-05-21 22:00:00,-0.7588957,-0.78582394,-0.7590512,-0.75881344,-0.7591338,-0.75085604
2018-05-21 23:00:00,-0.7588992,-0.7858321,-0.7590693,-0.75874615,-0.7591294,-0.75108767
2018-05-22 00:00:00,-0.75890446,-0.7858191,-0.7590947,-0.7587021,-0.75913656,-0.75129956
2018-05-22 01:00:00,-0.7589055,-0.78583086,-0.7591204,-0.75870407,-0.7591662,-0.75148237
2018-05-22 02:00:00,-0.7589198,-0.7858449,-0.7591437,-0.7587331,-0.75919235,-0.75148785
2018-05-22 03:00:00,-0.75894153,-0.7858812,-0.7591585,-0.7587573,-0.75921714,-0.7516475
2018-05-22 04:00:00,-0.7589635,-0.7859155,-0.75919855,-0.7587703,-0.7592399,-0.7519273
2018-05-22 05:00:00,-0.7590055,-0.7859537,-0.75922203,-0.75878966,-0.7592729,-0.75236607
2018-05-22 06:00:00,-0.75906247,-0.78600097,-0.75924003,-0.7588269,-0.75930715,-0.7528373
2018-05-22 07:00:00,-0.75912833,-0.78606486,-0.7593093,-0.75887066,-0.7593587,-0.7533175
2018-05-22 08:00:00,-0.7591975,-0.7861341,-0.75939,-0.75890476,-0.7594135,-0.7536315
2018-05-22 09:00:00,-0.75926995,-0.78620553,-0.75942355,-0.7589285,-0.75947225,-0.7538661
2018-05-22 10:00:00,-0.7593647,-0.7862744,-0.7594211,-0.7589632,-0.75952435,-0.7540952
2018-05-22 11:00:00,-0.75945073,-0.7863719,-0.7595205,-0.75903314,-0.7596057,-0.7542678
2018-05-22 12:00:00,-0.75951874,-0.7864672,-0.759572,-0.7591301,-0.75968575,-0.7544983
2018-05-22 13:00:00,-0.7595672,-0.78654575,-0.7596059,-0.7592094,-0.7597445,-0.75480306
2018-05-22 14:00:00,-0.7595901,-0.78660274,-0.75963664,-0.7592327,-0.759763,-0.7551489
2018-05-22 15:00:00,-0.75958085,-0.7866277,-0.7597127,-0.7592019,-0.75976026,-0.7553827
2018-05-22 16:00:00,-0.7595581,-0.7866149,-0.75964344,-0.75914794,-0.75973547,-0.755749
2018-05-22 17:00:00,-0.75953686,-0.78658456,-0.75963783,-0.7591174,-0.7597125,-0.756057
2018-05-22 18:00:00,-0.7595088,-0.78656375,-0.75966334,-0.75913155,-0.7596962,-0.75634813
2018-05-22 19:00:00,-0.7594894,-0.7865391,-0.75968283,-0.7591589,-0.7596638,-0.756594
2018-05-22 20:00:00,-0.75946987,-0.7865197,-0.7596616,-0.75913864,-0.75962657,-0.75692225
2018-05-22 21:00:00,-0.7594339,-0.7864915,-0.7596945,-0.75905013,-0.7595848,-0.7571579
2018-05-22 22:00:00,-0.7593983,-0.7864471,-0.75967896,-0.75894165,-0.7595489,-0.75741065
2018-05-22 23:00:00,-0.75940293,-0.78640115,-0.75962245,-0.75889313,-0.759534,-0.75765574
2018-05-23 00:00:00,-0.75943846,-0.78640103,-0.75961727,-0.7589449,-0.75956744,-0.7579161
2018-05-23 01:00:00,-0.7594925,-0.7864356,-0.7596873,-0.75906557,-0.75962496,-0.75810426
2018-05-23 02:00:00,-0.75956094,-0.7864934,-0.75975764,-0.75917804,-0.7596878,-0.758347
2018-05-23 03:00:00,-0.7596359,-0.7865634,-0.75983125,-0.75922775,-0.7597485,-0.75863266
2018-05-23 04:00:00,-0.7597132,-0.7866382,-0.7599179,-0.7592295,-0.7598207,-0.7589376
2018-05-23 05:00:00,-0.75981027,-0.7867137,-0.759997,-0.75924826,-0.75990885,-0.75924367
2018-05-23 06:00:00,-0.7599246,-0.78681016,-0.7600838,-0.7593346,-0.7600287,-0.75957847
